Sample_Size_N,Noise_0.01,Noise_0.02,Noise_0.03,Noise_0.04,Noise_0.05
1,0.009171085403067991,0.00908126870635897,0.009056237444747239,0.009044646043912507,0.009066664494457654
10,0.09279201050521806,0.09201385435299017,0.09190365634858608,0.09191998330061324,0.09477181455877144
20,0.19355197290715295,0.19414073545485735,0.19459604165458586,0.19610900849220342,0.19595456445240417
30,0.29909753969113806,0.2989761937962612,0.2966919500468066,0.2963311062077992,0.2972430207038997
40,0.432121018707403,0.4289000729972031,0.4296726187487366,0.4268828332045814,0.42464384375489317
50,0.5616311521007447,0.5590739313047379,0.5529610957950354,0.5599202916026116,0.54922722094052
60,0.7199170978477923,0.6896712145942729,0.6876040728471707,0.677075146054267,0.6811414019932271
70,0.8517103396938183,0.8338096875580959,0.824165352145792,0.8343368543457472,0.8243402646010509
80,1.0130717356456445,1.0007727104413788,1.002489327188232,0.9866333855025005,0.9924229688476771
90,1.2333010041940724,1.196923758351477,1.2300232230016264,1.1612709938548504,1.183827041654149
100,1.4275729353510542,1.3711032645980594,1.365052645749529,1.372123429211206,1.343975381142809
110,1.615654183353763,1.7558842770493357,1.5378318147559185,1.5250401104567572,1.6896485812438187
120,1.8562215187994298,2.0863758896477522,1.7787033916480142,1.730834943644004,1.9690812645072584
130,2.039292933308752,2.400369181251153,1.9823717227991438,1.967116033154889,2.319187997948029
140,2.263831899984507,2.808725047999178,2.261734793611686,2.232664829146233,2.59511638530239
150,3.061203158239368,2.5424083771009465,2.5097299312008543,2.8028797499020586,2.4292454957030714
160,3.3909736395522487,2.71016086039599,2.9093118126445914,2.91920967285987,2.916635327140102
170,3.898572835489176,2.983257091703126,3.5437492375058355,3.0777853354025866,3.379932881210698
180,4.090182845908567,3.3180672792019323,3.9719015727518125,3.273999527003616,3.9283539250522153
190,4.583359093804029,3.779737081303028,4.325034552151919,3.7732494229450824,4.030325122800423
200,5.080603145752685,3.8073428187984972,4.123878054044326,4.394917718754732,3.8645496769517194
